transaction_id,timestamp,amount,currency,sender_account,receiver_account,sender_country,sender_municipality,receiver_country,receiver_municipality,transaction_type,notes,amount_sek,hour
0768d874-012e-4e3d-ab57-d7e7abd68613,2025-02-28 11:26:00,628.56,SEK,SE8902ZWKL91581622045409,SE8902ZNHI21783939608864,Sweden,Östersund,Sweden,Ängelholm,incoming,,0.0,11
fe64bd92-b0dc-4b0f-a112-cf9e6ca89824,2025-02-04 01:48:00,154.7,SEK,SE8902NDNE36671961231780,SE8902XXAF74151570423565,Sweden,Linköping,Sweden,Skellefteå,incoming,Payment for invoice #1833,0.0,1
8b4a5e0c-274c-43b0-a611-e973fbef2b1c,2025-03-14 07:15:00,939.61,SEK,SE8902FCSV26977507325534,SE8902MQZJ06643246897705,Sweden,Falun,Sweden,Motala,outgoing,Loan repayment,0.0,7
40e6acbd-d419-42a4-beaa-e5424b7b697e,2025-04-02 12:28:00,149.23,SEK,SE8902UGGW38274485777478,SE8902MQZJ06643246897705,Sweden,Växjö,Sweden,Skellefteå,incoming,Payment for invoice #1096,0.0,12
8c26b18f-d9c9-4d57-97c9-bfb68adce2dd,2025-05-06 13:04:00,550.96,SEK,SE8902ZJEO82962448424927,SE8902XXAF74151570423565,Sweden,Malmö,Sweden,Karlskrona,outgoing,Utility bill,0.0,13
1ba7445b-2657-4496-a6e9-973041588cf8,2025-02-08 01:09:00,802.73,SEK,SE8902YOEW30639718787528,SE8902MMNV35784660404948,Sweden,Norrköping,Sweden,Göteborg,incoming,Subscription fee,0.0,1
5f09b10e-ef7d-4b26-8432-adf70c05f9a8,2025-02-17 09:09:00,368.98,SEK,SE8902FGVS05404234689422,SE8902YCCU23582343543594,Sweden,Stockholm,Sweden,Mölndal,outgoing,Reimbursement for travel,0.0,9
13250e03-eb44-4c14-b621-70077659eae3,2025-01-24 14:16:00,780.5,SEK,SE8902PFYI37989903515742,SE8902MMNV35784660404948,Sweden,Varberg,Sweden,Falun,incoming,Mobile recharge,0.0,14
eacecf6d-b1b7-476d-aba2-0473d87becb9,2025-03-25 10:39:00,840.51,SEK,SE8902YHDH55973704252760,SE8902YCCU23582343543594,Sweden,Uppsala,Sweden,Piteå,incoming,Subscription fee,0.0,10
9e59cfb0-0db9-451e-ac00-16ca8e1badbf,2025-04-18 11:31:00,319.51,SEK,SE8902RIDV47368265699473,SE8902XXAF74151570423565,Sweden,Norrköping,Sweden,Örnsköldsvik,incoming,Payment for invoice #7484,0.0,11
