transaction_id,timestamp,amount,currency,sender_account,receiver_account,sender_country,sender_municipality,receiver_country,receiver_municipality,transaction_type,notes,amount_sek,hour,date,sender_pnr,receiver_pnr
833c2411-18a9-48a2-a4d4-e48afb1b2dd9,2025-02-14 13:43:00,6197.94,SEK,SE8902UNAU13611272599268,SE8902YHDH55973704252760,Sweden,Nyköping,Sweden,Kristianstad,outgoing,Payment for invoice #2305,0.0,13,2025-02-14,390120-3251,390120-3251
4a4c682c-c339-4e43-9dbb-b8651df679fa,2025-03-06 01:10:00,47490.83,SEK,SE8902HXLB10149156679316,SE8902PCFY59781759139715,Sweden,Eskilstuna,Sweden,Karlskoga,outgoing,Mobile recharge,0.0,1,2025-03-06,441022-8888,441022-8888
9fbed290-ad2a-4831-bc4a-cdd72b134a20,2025-01-03 15:43:00,15693.57,SEK,SE8902QCNP19721394374879,SE8902XUOQ37054183061149,Sweden,Nyköping,Sweden,Örebro,incoming,,0.0,15,2025-01-03,891030-3471,891030-3471
5ed8c931-eba1-4faa-902d-3d9991ac6df3,2025-02-18 13:44:00,34514.08,SEK,SE8902WQME16820619653293,SE8902KSGB25510595835295,Sweden,Karlskrona,Sweden,Södertälje,incoming,,0.0,13,2025-02-18,060925-9098,060925-9098
04957ffa-90a3-4e82-8628-b1c9520fcf64,2025-01-03 07:54:00,2095.26,SEK,SE8902RASX95864855242605,SE8902OCQK11725418237602,Sweden,Jönköping,Sweden,Jönköping,incoming,Tax refund,0.0,7,2025-01-03,850630-1954,850630-1954
84f7cc35-8b38-4828-9f5f-1928a08aa577,2025-03-26 17:05:00,25702.11,SEK,SE8902UDAI89693707440786,SE8902PEJL40222448009128,Sweden,Östersund,Sweden,Kalmar,outgoing,Utility bill,0.0,17,2025-03-26,570120-3019,570120-3019
cc98e7b9-0539-475c-b80b-29530418881d,2025-03-19 06:29:00,43462.36,SEK,SE8902RBXU00091422402190,SE8902LFCU74107203362240,Sweden,Varberg,Sweden,Halmstad,outgoing,Salary payment,0.0,6,2025-03-19,911111-4402,911111-4402
c92761ab-d06b-4766-b527-cc84e8126e08,2025-01-19 12:41:00,28096.18,SEK,SE8902IAAP17064707009052,SE8902PMAG08583189181534,Sweden,Sundsvall,Sweden,Karlstad,outgoing,,0.0,12,2025-01-19,600315-9438,600315-9438
5b0b03ba-5cde-495b-a07a-1740d4d9b6ef,2025-05-18 11:32:00,40974.98,SEK,SE8902GORN68994003453353,SE8902FCSV26977507325534,Sweden,Borlänge,Sweden,Borås,outgoing,Payment for invoice #7754,0.0,11,2025-05-18,780805-2190,780805-2190
e18cb05e-4cc8-4985-8214-936ff140827d,2025-03-02 00:08:00,35235.07,SEK,SE8902TKRB93799625518098,SE8902IRXN70281866292484,Sweden,Trollhättan,Sweden,Göteborg,outgoing,Freelance project payment,0.0,0,2025-03-02,990131-4873,990131-4873
b1aaab37-060a-47b7-8c15-0e5d526260e3,2026-03-09 04:01:00,17579.42,SEK,SE8902TDWF15245617438533,SE8902ANWR22887008474492,Sweden,Lund,Sweden,Lidköping,incoming,Freelance project payment,0.0,4,2026-03-09,890624-2840,890624-2840
